movie_title,year
Out Cold ,2001.0
The Grandmaster ,2013.0
Silent Movie ,2016.0
Molly ,
Dream with the Fishes ,1997.0
Dragon Nest: Warriors' Dawn ,2014.0
Quartet ,2012.0
Airlift ,2016.0
The Best Little Whorehouse in Texas ,1982.0
Blue Car ,2002.0
Tomcats ,2001.0
Whale Rider ,2002.0
Enough ,2002.0
eXistenZ ,1999.0
Luminarias ,1999.0
Cargo ,2017.0
Heartbreakers ,2001.0
Army of Darkness ,1992.0
Wristcutters: A Love Story ,2006.0
Bringing Down the House ,2003.0
Slackers ,2002.0
High School Musical ,2006.0
Paul Blart: Mall Cop 2 ,2015.0
The Battle of Shaker Heights ,2003.0
Wayne's World ,1992.0
Night Watch ,2004.0
The Visual Bible: The Gospel of John ,2003.0
Angel Eyes ,2001.0
Jackass 3D ,2010.0
The Act of Killing ,2012.0
The Crying Game ,1992.0
The Guru ,2002.0
Jaws 2 ,1978.0
Joe Somebody ,2001.0
Taxi to the Dark Side ,2007.0
Porky's ,1981.0
The Perez Family ,1995.0
Rock Star ,2001.0
Are We There Yet? ,2005.0
Once in a Lifetime: The Extraordinary Story of the New York Cosmos ,2006.0
Survival of the Dead ,2009.0
The Molly Maguires ,1970.0
Tammy ,2014.0
Precious ,2009.0
Antarctica: A Year on Ice ,2013.0
Night of the Living Dead ,1968.0
Copying Beethoven ,2006.0
Wicker Park ,2004.0
The Thing ,1982.0
The Greatest Show on Earth ,1952.0
A Lego Brickumentary ,2014.0
Poltergeist ,1982.0
Switchback ,1997.0
White Chicks ,2004.0
Chocolate: Deep Dark Secrets ,2005.0
Maggie ,
Brighton Rock ,2010.0
Holes ,2003.0
Texas Rangers ,2001.0
The House of the Devil ,2009.0
Hansel & Gretel Get Baked ,2013.0
LOL ,2012.0
The Last Song ,2010.0
The Master ,2012.0
The Perfect Host ,2010.0
The Return of the Living Dead ,1985.0
Jindabyne ,2006.0
Drumline ,2002.0
We're the Millers ,2013.0
Safe Men ,1998.0
The Front Page ,1974.0
An Ideal Husband ,1999.0
Madea's Witness Protection ,2012.0
Speedway Junky ,1999.0
Trapeze ,1956.0
Obitaemyy ostrov ,2008.0
The Last Days on Mars ,2013.0
Return to Never Land ,2002.0
16 to Life ,2009.0
Breakdown ,1997.0
They Live ,1988.0
Darkness ,2022.0
Selma ,
Alone with Her ,2006.0
The Wash ,2001.0
Hot Tub Time Machine ,2010.0
Boogeyman ,2023.0
2001: A Space Odyssey ,1968.0
3 Strikes ,2000.0
Snow Falling on Cedars ,1999.0
Creative Control ,2015.0
Premonition ,2007.0
The Blue Butterfly ,2004.0
The Cooler ,2003.0
Isn't She Great ,2000.0
Special ,1999.0
The Tigger Movie ,2000.0
The Orphanage ,2007.0
There Goes My Baby ,1994.0
Space Chimps ,2008.0
The Helix... Loaded ,2005.0
Max ,
A Haunted House 2 ,2014.0
September Dawn ,2007.0
In Her Line of Fire ,2006.0
Head of State ,2003.0
Secretary ,2002.0
Epic Movie ,2007.0
The Jimmy Show ,2014.0
For Greater Glory: The True Story of Cristiada ,2012.0
Spotlight ,2015.0
The Real Cancun ,2003.0
Ip Man 3 ,2015.0
Heli ,2013.0
Lakeview Terrace ,2008.0
La Famille Bélier ,2014.0
Talk Radio ,1988.0
The Blind Side ,2009.0
Karachi se Lahore ,2015.0
Saw III ,2006.0
Waiting for Guffman ,1996.0
How Stella Got Her Groove Back ,1998.0
Trainwreck ,2015.0
Loving Annabelle ,2006.0
Love Stinks ,1999.0
The Purge: Election Year ,2016.0
The Black Hole ,1979.0
Guess Who ,2005.0
Hits ,2024.0
You Kill Me ,2007.0
Saw IV ,2007.0
The American ,2010.0
Sky High ,2005.0
Thumbsucker ,2005.0
Jimmy and Judy ,2006.0
White Noise ,2022.0
Selena ,
Red State ,2011.0
Frat Party ,2009.0
Species ,1995.0
Madea's Family Reunion ,2006.0
Vampires Suck ,2010.0
Mirrormask ,2005.0
Secretariat ,2010.0
Proud ,2018.0
The Mighty Ducks ,1992.0
Team America: World Police ,2004.0
Samsara ,2011.0
Radio ,2003.0
Childless ,2008.0
Jeepers Creepers ,2001.0
Texas Chainsaw 3D ,2013.0
The Barbarians ,1987.0
This Is 40 ,2012.0
ZMD: Zombies of Mass Destruction ,2009.0
Oliver! ,
Zipper ,2015.0
Risen ,2016.0
Underworld: Rise of the Lycans ,2009.0
The Best Exotic Marigold Hotel ,2011.0
Snow White: A Deadly Summer ,2012.0
Poolhall Junkies ,2002.0
Ghost Ship ,2002.0
Must Love Dogs ,2005.0
Recess: School's Out ,2001.0
My Last Day Without You ,2011.0
Shooting Fish ,1997.0
A Very Harold & Kumar 3D Christmas ,2011.0
Commando ,1985.0
The Back-up Plan ,2010.0
Steppin: The Movie ,2009.0
The Debt ,2010.0
Psycho Beach Party ,2000.0
Friday After Next ,2002.0
Truth or Die ,2012.0
The Big Tease ,1999.0
High Fidelity ,2000.0
The Last Dragon ,1985.0
Something Borrowed ,2011.0
"Buen Día, Ramón ",2013.0
The Pet ,1936.0
The Lawnmower Man ,1992.0
One Missed Call ,2008.0
Black Knight ,2001.0
Trust ,2010.0
Bang Bang Baby ,2022.0
Nick and Norah's Infinite Playlist ,2008.0
An Everlasting Piece ,2000.0
Eye for an Eye ,1996.0
Fear Clinic ,2014.0
The Nativity Story ,2006.0
The Banger Sisters ,2002.0
Among Giants ,1998.0
Nancy Drew ,2019.0
House of Wax ,2005.0
Twilight Zone: The Movie ,1983.0
Mondays in the Sun ,2002.0
Zombie Hunter ,2013.0
Daybreakers ,2009.0
Mirrors ,2008.0
Road House ,2024.0
Stake Land ,2010.0
A Fine Step ,2014.0
Stay Alive ,2006.0
Queen of the Damned ,2002.0
Futuro Beach ,2014.0
Banshee Chapter ,2013.0
A Low Down Dirty Shame ,1994.0
Alpha and Omega ,2010.0
Flash Gordon ,1980.0
A Lonely Place to Die ,2011.0
Swimfan ,2002.0
Ask Me Anything ,2014.0
The Covenant ,2023.0
The Geographer Drank His Globe Away ,2013.0
Jersey Girl ,2004.0
Employee of the Month ,2006.0
And Then Came Love ,2007.0
Inescapable ,2003.0
Alex Cross ,2012.0
Nerve ,2016.0
Food Chains ,2014.0
Can't Hardly Wait ,1998.0
Hell's Angels ,1930.0
My Best Friend's Girl ,2008.0
Nanny McPhee Returns ,2010.0
L!fe Happens ,2011.0
The Dead Zone ,1983.0
Purple Violets ,2007.0
Hoffa ,1992.0
Georgia Rule ,2007.0
"4 Months, 3 Weeks and 2 Days ",2018.0
The Veil ,2024.0
Sinister 2 ,2015.0
The X Files: I Want to Believe ,2008.0
Under the Rainbow ,1981.0
The Horror Network Vol. 1 ,2015.0
How to Fall in Love ,2012.0
Abduction ,2011.0
Simon Birch ,1998.0
Sparkle ,2012.0
The Perfect Wave ,2014.0
Hard Candy ,2005.0
Valiant ,2005.0
School for Scoundrels ,2006.0
Valentine ,2001.0
A Man for All Seasons ,1966.0
The Quiet ,2005.0
Superhero Movie ,2008.0
Silent Hill: Revelation 3D ,2013.0
Sugar Hill ,1993.0
Desert Dancer ,2014.0
Broken City ,2013.0
Fruitvale Station ,2013.0
Pooh's Heffalump Movie ,2005.0
Annie Get Your Gun ,1950.0
Invasion U.S.A. ,1985.0
Cursed ,2021.0
The Brass Teapot ,2012.0
Kung Fu Hustle ,2004.0
Skyline ,2010.0
House of Sand ,2003.0
Hot Pursuit ,2015.0
The Kite Runner ,2007.0
Defendor ,2009.0
The Second Best Exotic Marigold Hotel ,2015.0
The Hammer ,2023.0
Bait ,2012.0
Paparazzi ,2004.0
The Pirate ,1948.0
Kit Kittredge: An American Girl ,2008.0
Elza ,
Flight of the Intruder ,1991.0
The Good Heart ,2009.0
A Guy Thing ,2003.0
The Perfect Man ,2005.0
Walk Hard: The Dewey Cox Story ,2007.0
1982 ,2013.0
Midnight Cowboy ,1969.0
Loser ,2000.0
Kung Pow: Enter the Fist ,2002.0
American Outlaws ,2001.0
Airplane! ,1980.0
Disaster Movie ,2008.0
"For a Good Time, Call... ",2012.0
Tremors ,1990.0
Friday ,1995.0
Time Changer ,2002.0
Lockout ,2012.0
Whiteout ,2009.0
The Corruptor ,1999.0
Menace II Society ,1993.0
London to Brighton ,2006.0
Knock Off ,1998.0
Reno 911!: Miami ,2007.0
In Cold Blood ,1967.0
Envy ,2004.0
American Hero ,1981.0
The Nun's Story ,1959.0
One Direction: This Is Us ,2013.0
Sabotage ,2014.0
One Night with the King ,2006.0
Windsor Drive ,2015.0
Undisputed ,2002.0
Hey Arnold! The Movie ,2017.0
Harper ,
Warriors of Virtue ,1997.0
A Separation ,2011.0
The Witch ,2015.0
Love Jones ,1997.0
Ghost Town ,2008.0
A Good Year ,2006.0
Welcome to the Dollhouse ,1995.0
I Got the Hook Up ,1998.0
End of the Spear ,2005.0
12 Rounds ,2009.0
Smilla's Sense of Snow ,1997.0
She's the One ,1996.0
Ruby in Paradise ,1993.0
Office Space ,1999.0
Femme Fatale ,2002.0
3 Ninjas Kick Back ,1994.0
The Secret in Their Eyes ,2009.0
Raising Victor Vargas ,2002.0
Body Double ,1984.0
Day of the Dead ,1985.0
Death Sentence ,2007.0
Lion of the Desert ,1980.0
